"Replicate","Term","Deviance_Value","Eta_Sq_Value","Amplitude_Value","RMS_Value"
235,"s(V1_pre_z)",10.2557568397993,0.0921542038835862,2.04754674547579,0.628978959573081
236,"s(V1_pre_z)",9.84137090187619,0.0917552061954063,1.92431186760118,0.603238114866257
237,"s(V1_pre_z)",9.97036155121444,0.0903515985435343,2.03602017125601,0.620756163409557
238,"s(V1_pre_z)",10.142008518125,0.0957623504265414,1.85438232081606,0.59240506426216
239,"s(V1_pre_z)",9.86018249993705,0.0994123214095137,2.19530735516543,0.646536647745813
240,"s(V1_pre_z)",9.22931395258011,0.0842134728738996,1.89580597012443,0.58958455256716
241,"s(V1_pre_z)",10.0713690647138,0.0883495236762691,2.08064140428191,0.631515975249848
242,"s(V1_pre_z)",10.3462462012699,0.0905087324684959,2.13613834550006,0.647345167343157
243,"s(V1_pre_z)",9.60328619987444,0.0859036749343531,1.98867253449181,0.610093987552932
244,"s(V1_pre_z)",10.0410823923142,0.0904458065794983,2.01895283846385,0.619287796571007
245,"s(V1_pre_z)",9.83858404860184,0.0945389429669199,1.79169199735357,0.582368793644692
246,"s(V1_pre_z)",10.0987858713168,0.0857716249172867,2.1879592409948,0.651215557589176
247,"s(V1_pre_z)",10.0730187884111,0.0836914499863039,2.20307749843476,0.65096743491254
248,"s(V1_pre_z)",10.0660966480988,0.0894033947123496,2.06541173573407,0.626972092961629
249,"s(V1_pre_z)",10.292790270782,0.0929016695166484,2.04400440626806,0.627485397188502
250,"s(V1_pre_z)",10.2985401441774,0.0912582027330747,2.11047081950286,0.641257773013801
251,"s(V1_pre_z)",10.2216212951572,0.103246087583432,2.25262005541049,0.663439984384693
252,"s(V1_pre_z)",9.79506052403059,0.0850325922988373,2.11157220720427,0.633778430022365
253,"s(V1_pre_z)",9.51532133212489,0.0885486598426121,1.88924296081717,0.590252634875684
254,"s(V1_pre_z)",9.80547260896807,0.087916006901675,2.04957031805255,0.625868357708531
255,"s(V1_pre_z)",9.59463879994373,0.0886854971577135,1.88765561747149,0.591610131630298
256,"s(V1_pre_z)",9.95759895504345,0.0920635904000408,1.92575989235695,0.603181381876322
257,"s(V1_pre_z)",10.1615361357792,0.090987361031229,2.05703294325551,0.62545451337895
258,"s(V1_pre_z)",9.13252105606557,0.0843807944622653,1.8150348579694,0.569440488786267
259,"s(V1_pre_z)",10.3901106994229,0.0939057557398537,2.06587401408613,0.634603533632373
260,"s(V1_pre_z)",9.80514509364488,0.0851218195229444,2.09623824516338,0.629743555114228
261,"s(V1_pre_z)",10.0716644082747,0.0949689508713363,1.87702150222517,0.598850241783664
262,"s(V1_pre_z)",9.88803780051106,0.0897093879385689,2.0131660444132,0.619539279182294
263,"s(V1_pre_z)",9.90051994700146,0.0900917304044698,1.97820560805786,0.611534696821562
264,"s(V1_pre_z)",9.70569183103164,0.0896679395974272,1.94887058608091,0.603238419687808
265,"s(V1_pre_z)",10.3416852743163,0.0965842443206423,2.01682726071376,0.622304684741233
266,"s(V1_pre_z)",9.53062494584535,0.0874765130145767,1.91440935232683,0.595062131245304
267,"s(V1_pre_z)",9.59521913408182,0.086526768483245,1.99694770405101,0.609752496078776
268,"s(V1_pre_z)",9.66267577379027,0.0855478826123618,2.0057434649649,0.613378016125833
269,"s(V1_pre_z)",9.68996649732231,0.0893082355136585,1.90131596525321,0.59622720034127
270,"s(V1_pre_z)",9.82906612844497,0.0846146470136651,2.10977904092385,0.63321660308539
271,"s(V1_pre_z)",10.1928411405116,0.0868610047152404,2.16244350653217,0.646010376422844
272,"s(V1_pre_z)",9.66411306186739,0.0916226679743739,1.8124141990119,0.582994519334524
273,"s(V1_pre_z)",10.0713843695192,0.0905663749871128,2.04451446351085,0.626981684115037
274,"s(V1_pre_z)",9.81936790032432,0.0904214084573198,1.92189610194492,0.599985756730252
275,"s(V1_pre_z)",10.577785679088,0.096423131049876,2.09228682579097,0.642009844489055
276,"s(V1_pre_z)",10.180642192668,0.0941073132532311,1.9516342166697,0.610404293349359
277,"s(V1_pre_z)",10.3016907564317,0.097522505928964,1.96846721394901,0.615886616369548
278,"s(V1_pre_z)",9.81839000723853,0.0899367523737135,2.00301033589679,0.616743690865035
279,"s(V1_pre_z)",10.0320297990801,0.0936778210535866,1.89694783491425,0.59912320036862
